Question,Answer
"Who said the quote: 'Ah, there he is!'?",Morty Seinfeld
"Who said the quote: 'Yknow, Jerry, we dont have to do this.'?",Helen Seinfeld
Who said the quote: 'Tomorrow well go to a hotel.'?,Helen Seinfeld
"Who said the quote: 'No, why should we take over your apartment?'?",Helen Seinfeld
Who said the quote: 'Your friend Kramer doesnt mind?'?,Helen Seinfeld
Who said the quote: 'Depends on the firm.'?,Morty Seinfeld
Who said the quote: 'Whats the matter? You need a lawyer?'?,Morty Seinfeld
Who said the quote: 'So why dont you ask someone who was at the party?'?,Morty Seinfeld
Who said the quote: 'Why not?'?,Helen Seinfeld
Who said the quote: 'He used to go with her.'?,Helen Seinfeld
Who said the quote: 'Which one is she?'?,Helen Seinfeld
Who said the quote: 'From Maryland. The one who brought you the chocolate covered cherries you didnt like.'?,Morty Seinfeld
"Who said the quote: 'Oh yeah, very alert. Warm person.'?",Helen Seinfeld
"Who said the quote: 'So, how come nothing materialized there?'?",Helen Seinfeld
Who said the quote: 'I know what it was.'?,Helen Seinfeld
"Who said the quote: 'So, what was it?'?",Helen Seinfeld
"Who said the quote: 'Well, I think shes a very attractive girl.'?",Helen Seinfeld
Who said the quote: 'I can see if there was a weight problem...'?,Helen Seinfeld
"Who said the quote: 'You know, you cant be so particular. Nobodys perfect.'?",Helen Seinfeld
"Who said the quote: 'Yknow Jerry, its a good thing I wasnt so particular.'?",Morty Seinfeld
"Who said the quote: '(hits Morty) Idiot. (to Jerry) So whore you looking for, Sophia Loren?'?",Helen Seinfeld
Who said the quote: 'How about Loni Anderson?'?,Morty Seinfeld
Who said the quote: 'Where do you get Loni Anderson?'?,Helen Seinfeld
"Who said the quote: 'Why, whats wrong with Loni Anderson?'?",Morty Seinfeld
Who said the quote: 'I like Elaine more than Loni Anderson.'?,Helen Seinfeld
Who said the quote: 'And this other ones the one?'?,Helen Seinfeld
Who said the quote: 'So ask Elaine there for her number.'?,Morty Seinfeld
Who said the quote: 'How could you still see her if your not interested?'?,Helen Seinfeld
Who said the quote: 'Doesnt sound like youre friends to me. If you were friends you'd-youd ask her for the number. Do you know where this other one works?'?,Morty Seinfeld
"Who said the quote: 'Well, go up to the office.'?",Morty Seinfeld
Who said the quote: 'Up to her office?'?,Helen Seinfeld
"Who said the quote: 'Go to the building. She goes out to lunch, doesnt she?'?",Morty Seinfeld
"Who said the quote: 'So, you stand in the lobby, by the elevator, and wait for her to come down for lunch.'?",Morty Seinfeld
"Who said the quote: 'Morty, thats ridiculous. Just ask Elaine for the number!'?",Helen Seinfeld
Who said the quote: 'He doesnt want to ask Elaine for the number.'?,Morty Seinfeld
Who said the quote: 'So youve got him standing by the elevator like a dope! What happens when he sees her?'?,Helen Seinfeld
Who said the quote: 'He pretends he bumped into her!'?,Morty Seinfeld
Who said the quote: 'Bum bum bum bum... I have no letters... Bum bum bum bum...'?,Helen Seinfeld
Who said the quote: 'Bum bum bum bum...'?,Helen Seinfeld
"Who said the quote: 'Wait, I just want to see something.'?",Helen Seinfeld
"Who said the quote: '(cleaning his shoes) Good evening, Mr. Kramer!'?",Morty Seinfeld
Who said the quote: 'Quo. Is that a word?'?,Helen Seinfeld
Who said the quote: 'Will you challenge it?'?,Helen Seinfeld
Who said the quote: '(to Jerry) Youre such a stickler...'?,Helen Seinfeld
"Who said the quote: 'Theyll be here at two oclock. Oh, Elaine called. She said shed be here at two-thirty. And she says Hope your meeting went well with Art Vandelay?'?",Helen Seinfeld
"Who said the quote: 'Just what I said, here.'?",Helen Seinfeld
Who said the quote: 'She knows what?'?,Helen Seinfeld
"Who said the quote: 'No, no, no, that wont do. He may have a Z.'?",Helen Seinfeld
"Who said the quote: 'So, how did she find out?'?",Morty Seinfeld
"Who said the quote: 'So, what are you? Afraid of her?'?",Morty Seinfeld
Who said the quote: 'Whatever I wrote down.'?,Helen Seinfeld
"Who said the quote: 'Who am I, Rich Little?'?",Helen Seinfeld
"Who said the quote: 'Well, she cant be too mad. Shes still coming to the wedding.'?",Morty Seinfeld
"Who said the quote: 'Oh, stop it.'?",Helen Seinfeld
Who said the quote: '...30...31...'?,Helen Seinfeld
Who said the quote: '...32...'?,Helen Seinfeld
Who said the quote: 'Im not playing with you anymore.'?,Helen Seinfeld
Who said the quote: 'Quones not a word.'?,Morty Seinfeld
Who said the quote: '(to Kramer) Why did you make me put that down?'?,Helen Seinfeld
"Who said the quote: 'You have so many nice jackets. I dont know why you had to bring this jacket. Who wears a jacket like this? Whats wrong with that nice gray one? You have beautiful clothes. They sit in your closet. Morty, you cant wear this!'?",Helen Seinfeld
Who said the quote: 'Are you getting that?'?,Morty Seinfeld
Who said the quote: 'I thought you were getting it.'?,Helen Seinfeld
Who said the quote: 'Should I pick up?'?,Morty Seinfeld
Who said the quote: 'You want me to get that?'?,Helen Seinfeld
Who said the quote: 'Ill get it!'?,Morty Seinfeld
Who said the quote: 'Ill get it!'?,Helen Seinfeld
Who said the quote: 'Hello?... Hello?'?,Helen Seinfeld
Who said the quote: 'Hi.'?,Helen Seinfeld
"Who said the quote: 'So, howd you do?'?",Morty Seinfeld
Who said the quote: 'This is your greatest moment? A game?'?,Helen Seinfeld
"Who said the quote: 'You know what my greatest moment was, dont you? Nineteen-forty-six. I went to work for Harry Flemming and I came up with the idea for the beltless trenchcoat.'?",Morty Seinfeld
"Who said the quote: 'Jerry, look at this sport jacket. Is this a jacket to wear to an anniversary party?'?",Helen Seinfeld
Who said the quote: 'But its their 50th anniversary.'?,Helen Seinfeld
Who said the quote: 'Your mother doesn't like my taste in clothing.'?,Morty Seinfeld
"Who said the quote: 'You know, I spoke to Manya and Isaac on the phone today. They invited you again. I think you should go.'?",Helen Seinfeld
Who said the quote: 'So bring her.'?,Helen Seinfeld
"Who said the quote: 'I dont know her either. (gesturing to Helen) She makes me fly all the way from Florida for this, and then she criticizes my jacket.'?",Morty Seinfeld
"Who said the quote: 'At least come and say hello, have a cup of coffee, then youll leave.'?",Helen Seinfeld
Who said the quote: 'How come he gets to leave?'?,Morty Seinfeld
"Who said the quote: 'And its always about Jeffrey, right?'?",Morty Seinfeld
"Who said the quote: 'Oh, yeah. I forgot all about it.'?",Morty Seinfeld
Who said the quote: 'I dont know how youre going to be comfortable like that.'?,Morty Seinfeld
"Who said the quote: 'Hey, thats some big job.'?",Morty Seinfeld
"Who said the quote: 'I dont want you betting. Morty, dont let him bet.'?",Helen Seinfeld
Who said the quote: 'Are you ready for dessert?'?,Morty Seinfeld
"Who said the quote: 'Hes kidding, Manya.'?",Helen Seinfeld
"Who said the quote: 'So, did you hear Claires getting married?'?",Helen Seinfeld
"Who said the quote: 'I hear the fella owns a couple of racehorses. You know, trotters, like at Yonkers.'?",Helen Seinfeld
Who said the quote: 'Should we have coffee? Whos having coffee?'?,Helen Seinfeld
"Who said the quote: 'No, were taking a cab.'?",Helen Seinfeld
Who said the quote: 'Dont be ridiculous. It was a misunderstanding.'?,Helen Seinfeld
"Who said the quote: 'Hey, I agree with him. Nobody likes a kid with a pony.'?",Morty Seinfeld
"Who said the quote: 'You know, you should give Manya a call.'?",Helen Seinfeld
"Who said the quote: 'Its nothing. I got it. So, how are your levels coming along?'?",Morty Seinfeld
"Who said the quote: 'Goodbye, Jerry.'?",Helen Seinfeld
Who said the quote: 'Well call you.'?,Helen Seinfeld
"Who said the quote: 'Bye, Jer.'?",Morty Seinfeld
"Who said the quote: 'Bye, Mr. Kramer.'?",Morty Seinfeld
Who said the quote: 'Who did you talk to?'?,Helen Seinfeld
Who said the quote: 'And whens the funeral?'?,Helen Seinfeld
"Who said the quote: 'You know what this means, dont you? We lost the Supersaver. Those tickets are non-refundable.'?",Morty Seinfeld
Who said the quote: 'She just had a check-up. The doctor said she was fine. Unless...'?,Helen Seinfeld
Who said the quote: 'What? Nothing.'?,Helen Seinfeld
"Who said the quote: 'Oh, dont be ridiculous. She was an old woman.'?",Helen Seinfeld
Who said the quote: 'You know what the flight backll cost us?'?,Morty Seinfeld
"Who said the quote: 'Maybe we can get an army transport flight. They got a base in Sarasota, I think.'?",Morty Seinfeld
"Who said the quote: 'Hello?... Yes, I know... Well, its just one of those things... Sure, sure, well see you then.'?",Helen Seinfeld
Who said the quote: 'The funerals Wednesday.'?,Helen Seinfeld
"Who said the quote: 'Two o clock, Wednesday.'?",Helen Seinfeld
Who said the quote: 'What?'?,Helen Seinfeld
Who said the quote: 'So? Youre not obligated. Go play in your game.'?,Helen Seinfeld
Who said the quote: 'So dont go.'?,Helen Seinfeld
"Who said the quote: 'Jerry, no ones forcing you.'?",Helen Seinfeld
Who said the quote: 'I dont have a dress to wear. (to Morty) And you. You dont have anything.'?,Helen Seinfeld
Who said the quote: 'I got my sport jacket.'?,Morty Seinfeld
Who said the quote: 'Youre not wearing that to a funeral.'?,Helen Seinfeld
Who said the quote: 'Whats wrong with it?'?,Morty Seinfeld
Who said the quote: 'It looks ridiculous.'?,Helen Seinfeld
Who said the quote: 'What? Im gonna buy a new sport jacket now?'?,Morty Seinfeld
Who said the quote: '(depressed) You know what this funerals gonna wind up costing me? Oh boy!'?,Morty Seinfeld
Who said the quote: 'It was good that the two of you came. It was a nice gesture.'?,Helen Seinfeld
Who said the quote: 'Youve got your degree. They dont care. They just want to see something.'?,Morty Seinfeld
"Who said the quote: 'You dont understand, Ive never paid a full fare.'?",Morty Seinfeld
Who said the quote: 'Its raining.'?,Helen Seinfeld
"Who said the quote: 'Believe me, I wouldnt bother you if the army hadnt closed that base in Sarasota. Here, scribble a little something here.'?",Morty Seinfeld
"Who said the quote: 'Oh, for Gods sake!'?",Morty Seinfeld
Who said the quote: 'Kramer!'?,Newman
Who said the quote: 'I'm on the roof!'?,Newman
Who said the quote: 'I can't. I'm goin' to a movie.'?,Newman
Who said the quote: '(looking by the window) They were supposed to be here at 730. Call the airlines again.'?,Helen Seinfeld
Who said the quote: '(searching in a kitchen drawer) What happened to the scotch tape? Who takes the scotch tape? Nobody returns anything around here.'?,Morty Seinfeld
Who said the quote: 'Oh I think that's them!'?,Helen Seinfeld
