Question,Answer
"Who said the quote: 'Do you know what this is all about? Do you know, why were here? To be out, this is out...and out is one of the single most enjoyable experiences of life. People...did you ever hear people talking about We should go out? This is what theyre talking about...this whole thing, were all out now, no one is home. Not one person here is home, were all out! There are people tryin to find us, they dont know where we are. (on an imaginary phone) Did you ring?, I cant find him. Where did he go? He didnt tell me where he was going. He must have gone out. You wanna go out you get ready, you pick out the clothes, right? You take the shower, you get all ready, get the cash, get your friends, the car, the spot, the reservation...Then youre standing around, whatta you do? You go We gotta be getting back. Once youre out, you wanna get back! You wanna go to sleep, you wanna get up, you wanna go out again tomorrow, right? Where ever you are in life, its my feeling, youve gotta go.'?",Jerry Seinfeld
"Who said the quote: '(pointing at Georges shirt) See, to me, that button is in the worst possible spot. The second button literally makes or breaks the shirt, look at it. Its too high! Its in no-mans-land. You look like you live with your mother.'?",Jerry Seinfeld
Who said the quote: 'Are you through?'?,George Costanza
"Who said the quote: 'You do of course try on, when you buy?'?",Jerry Seinfeld
"Who said the quote: 'Yes, it was purple, I liked it, I dont actually recall considering the buttons.'?",George Costanza
"Who said the quote: 'Oh, you dont recall?'?",Jerry Seinfeld
"Who said the quote: '(on an imaginary microphone) Uh, no, not at this time.'?",George Costanza
"Who said the quote: 'Well, senator, Id just like to know, what you knew and when you knew it.'?",Jerry Seinfeld
"Who said the quote: 'Are, are you sure this is decaf? Wheres the orange indicator?'?",George Costanza
"Who said the quote: 'Can you relax, its a cup of coffee. Claire is a professional waitress.'?",Jerry Seinfeld
Who said the quote: 'How come youre not doin the second show tomorrow?'?,George Costanza
"Who said the quote: 'Well, theres this uh, woman might be comin in.'?",Jerry Seinfeld
"Who said the quote: 'Wait a second, wait a second, what coming in, what woman is coming in?'?",George Costanza
"Who said the quote: 'I told you about Laura, the girl I met in Michigan?'?",Jerry Seinfeld
"Who said the quote: 'No, you didnt!'?",George Costanza
"Who said the quote: 'I thought I told you about it, yes, she teaches political science? I met her the night I did the show in Lansing...'?",Jerry Seinfeld
Who said the quote: 'Ha.'?,George Costanza
"Who said the quote: '(looks in the creamer) Theres no milk in here, what...'?",Jerry Seinfeld
"Who said the quote: 'Wait wait wait, what is she... (takes the milk can from Jerry and puts it on the table) What is she like?'?",George Costanza
"Who said the quote: 'Oh, shes really great. I mean, shes got like a real warmth about her and shes really bright and really pretty and uh... the conversation though, I mean, it was... talking with her is like talking with you, but, you know, obviously much better.'?",Jerry Seinfeld
"Who said the quote: '(smiling) So, you know, what, what happened?'?",George Costanza
"Who said the quote: 'Oh, nothing happened, you know, but is was great.'?",Jerry Seinfeld
"Who said the quote: 'Oh, nothing happened, but it was...'?",George Costanza
Who said the quote: 'Yeah.'?,Jerry Seinfeld
Who said the quote: 'This is great!'?,George Costanza
Who said the quote: 'Yeah.'?,Jerry Seinfeld
"Who said the quote: 'So, you know, she calls and says she wants to go out with you tomorrow night? God bless! Devil you!'?",George Costanza
"Who said the quote: 'Yeah, well...not exactly. I mean, she said, you know, she called this morning and said she had to come in for a seminar and maybe well get together.'?",Jerry Seinfeld
"Who said the quote: '(whistles disapprovingly) Ho ho ho, Had to? Had to come in?'?",George Costanza
"Who said the quote: 'Yeah, but...'?",Jerry Seinfeld
Who said the quote: 'Had to come in and maybe well get together? Had to and maybe?'?,George Costanza
Who said the quote: 'Yeah!'?,Jerry Seinfeld
"Who said the quote: 'No...no...no, I hate to tell you this. Youre not gonna see this woman.'?",George Costanza
"Who said the quote: 'What, are you serious...why, why did she call?'?",Jerry Seinfeld
"Who said the quote: 'How do I know, maybe, you know, maybe she wanted to be polite.'?",George Costanza
Who said the quote: 'To be polite? You are insane!'?,Jerry Seinfeld
"Who said the quote: 'All right, all right, I didnt want to tell you this. You wanna know why she called you?'?",George Costanza
Who said the quote: 'Yes!'?,Jerry Seinfeld
"Who said the quote: 'Youre a back-up, youre a second-line, a just-in-case, a B-plan, a contingency!'?",George Costanza
"Who said the quote: 'Oh, I get it, this is about the button.'?",Jerry Seinfeld
"Who said the quote: 'Claire, Claire, youre a woman, right?'?",George Costanza
"Who said the quote: 'Uhm...Id like to ask you...ask you to analyze a hypothetical phone call, you know, from a female point of view.'?",George Costanza
"Who said the quote: '(to Claire) Now, a woman calls me, all right?'?",George Costanza
Who said the quote: 'She says she has to come to New York on business...'?,George Costanza
Who said the quote: 'Oh you are beautiful!'?,Jerry Seinfeld
"Who said the quote: '...and, and maybe shell see me when she gets there, does this woman intend to spend time with me?'?",George Costanza
Who said the quote: 'To be polite. I rest my case.'?,George Costanza
"Who said the quote: 'Good. Did you have fun? You have no idea, what youre talking about, now, come on, come with me. (stands up) I gotta go get my stuff out of the dryer anyway.'?",Jerry Seinfeld
Who said the quote: 'Im not gonna watch you do laundry.'?,George Costanza
"Who said the quote: 'Oh, come on, be a come-with guy.'?",Jerry Seinfeld
"Who said the quote: 'Come on, Im tired.'?",George Costanza
"Who said the quote: '(panicking) Right, I knew I felt something!'?",George Costanza
Who said the quote: 'Jerry? I have to tell you something. This is the dullest moment Ive ever experienced.'?,George Costanza
"Who said the quote: 'Well, look at this guy. Look, hes got everything, hes got detergents, sprays, fabric softeners.  This is not his first load.'?",Jerry Seinfeld
"Who said the quote: 'I need a break, Jerry, you know. I gotta get out of the city. I feel so cramped...'?",George Costanza
Who said the quote: 'And you didnt even hear how she sounded.'?,Jerry Seinfeld
Who said the quote: 'What?!'?,George Costanza
Who said the quote: 'Laura.'?,Jerry Seinfeld
Who said the quote: 'I cant believe- (falls on his knees) WE ALREADY DISCUSSED THIS!'?,George Costanza
"Who said the quote: 'Yeah, but how could you be so sure?'?",Jerry Seinfeld
"Who said the quote: 'Cause its signals, Jerry, its signals! (snapping his fingers) Dont you- all right. Did she even ask you, what you were doin tomorrow night, if you were busy?'?",George Costanza
Who said the quote: 'No.'?,Jerry Seinfeld
Who said the quote: 'She calls you today and she doesnt make a plan for tomorrow? What is that? Its Saturday night!'?,George Costanza
Who said the quote: 'Yeah.'?,Jerry Seinfeld
"Who said the quote: 'What is that? Its ridiculous! You dont even know what hotel shes staying at, you cant call her. Thats a signal, Jerry, thats a signal! (snaps his fingers) Signal!'?",George Costanza
Who said the quote: 'Maybe youre right.'?,Jerry Seinfeld
Who said the quote: 'Maybe Im right? Of course Im right.'?,George Costanza
"Who said the quote: 'This is insane. You know, I dont even know where shes staying! She, shes not gonna call me, this is unbelievable.'?",Jerry Seinfeld
