Question,Answer
What episodes were written by Larry David?,"Good News, Bad News, The Stakeout, Male Unbonding, The Stock Tip, The Ex-Girlfriend, The Pony Remark, The Jacket, The Phone Message, The Statue, The Revenge, The Chinese Restaurant, The Busboy, The Note, The Pen, The Dog, The Parking Garage, The Tape, The Stranded, The Alternate Side, The Red Dot, The Subway, The Pez Dispenser, The Boyfriend (1), The Boyfriend (2), The Letter, The Parking Space, The Ticket, The Wallet (1), The Watch (2), The Bubble Boy, The Cheever Letters, The Contest, The Shoes, The Smelly Car, The Handicap Spot, The Pilot (1), The Pilot (2), The Mango, The Puffy Shirt, The Sniffing Accountant, The Non-Fat Yogurt, The Dinner Party, The Stand-In, The Raincoats, The Opposite, The Chaperone, The Big Salad, The Couch, The Race, The Kiss Hello, The Face Painter, The Engagement, The Postponement, The Maestro, The Cadillac (1), The Cadillac (2), The Invitations, The Finale"
What episodes were written by Jerry Seinfeld?,"Good News, Bad News, The Stakeout, Male Unbonding, The Stock Tip, The Ex-Girlfriend, The Pony Remark, The Jacket, The Phone Message, The Chinese Restaurant, The Busboy, The Stranded, The Shoes, The Sniffing Accountant, The Raincoats, The Opposite, The Kiss Hello, The Cadillac (1), The Cadillac (2)"
What episodes were written by Matt Goldman?,"The Robbery, The Stranded"
What episodes were written by Peter Mehlman?,"The Apartment, The Nose Job, The Good Samaritan, The Virgin, The Visa, The Implant, The Smelly Car, The Masseuse, The Wife, The Hamptons, The Chinese Woman, The Scofflaw, The Sponge, The Shower Head, The Wait Out, The Soul Mate, The Money, The Yada Yada, The Betrayal"
What episodes were written by Larry Charles?,"The Heart Attack, The Deal, The Baby Shower, The Library, The Fix-Up, The Limo, The Keys, The Trip (1), The Trip (2), The Pitch, The Bubble Boy, The Cheever Letters, The Opera, The Airport, The Pick, The Outing, The Bris, The Stall, The Fire"
What episodes were written by Elaine Pope?,"The Truth, The Fix-Up"
What episodes were written by Tom Leopold?,"The Cafe, The Suicide"
What episodes were written by Bob Shaw?,"The Tape, The Chaperone"
What episodes were written by Don McEnery?,The Tape
What episodes were written by Bill Masters?,"The Alternate Side, The Movie, The Chaperone"
What episodes were written by Larry Levin?,"The Boyfriend (1), The Boyfriend (2)"
What episodes were written by Greg Daniels?,The Parking Space
What episodes were written by Steve Skrovan?,The Movie
What episodes were written by Jon Hayman?,The Movie
What episodes were written by Bruce Kirschbaum?,"The Old Man, The Conversion, The Switch"
What episodes were written by Andy Robin?,"The Junior Mint, The Barber, The Jimmy, The Hot Tub, The Caddy, The Bottle Deposit (1), The Bottle Deposit (2), The Fatigues, The Comeback, The Nap, The Slicer, The Frogger, The Puerto Rican Day"
What episodes were written by Lawrence H. Levy?,The Mango
What episodes were written by Tom Gammill?,"The Glasses, The Cigar Store Indian, The Pie, The Raincoats, The Pledge Drive, The Mom &amp; Pop Store, The Race, The Doorman, The Diplomat's Club, The Wink, The Gum, The Doll, The Checks"
What episodes were written by Max Pross?,"The Glasses, The Cigar Store Indian, The Pie, The Raincoats, The Pledge Drive, The Mom &amp; Pop Store, The Race, The Doorman, The Diplomat's Club, The Wink, The Gum, The Doll, The Checks"
What episodes were written by Carol Leifer?,"The Lip Reader, The Hamptons, The Secretary, The Beard, The Understudy, The Rye"
What episodes were written by Ron Hague?,The Marine Biologist
What episodes were written by Charlie Rubin?,The Marine Biologist
What episodes were written by Andy Cowan?,The Opposite
What episodes were written by Alec Berg?,"The Gymnast, The Label Maker, The Doodle, The Secret Code, The Seven, The Calzone, The Foundation, The Chicken Roaster, The Summer of George, The Butter Shave, The Voice, The Strike, The Maid, The Puerto Rican Day"
What episodes were written by Jeff Schaffer?,"The Gymnast, The Label Maker, The Doodle, The Secret Code, The Seven, The Calzone, The Foundation, The Chicken Roaster, The Summer of George, The Butter Shave, The Voice, The Strike, The Maid, The Puerto Rican Day"
What episodes were written by Fred Stoller?,The Soup
What episodes were written by Marjorie Gross?,"The Secretary, The Fusilli Jerry, The Understudy, The Shower Head"
What episodes were written by Sam Kass?,The Switch
What episodes were written by Gregg Kavet?,"The Jimmy, The Hot Tub, The Caddy, The Bottle Deposit (1), The Bottle Deposit (2), The Fatigues, The Comeback, The Nap, The Slicer, The Frogger, The Puerto Rican Day"
What episodes were written by Spike Feresten?,"The Soup Nazi, The Wig Master, The Little Kicks, The Andrea Doria, The Muffin Tops, The Junk Mail, The Reverse Peephole (a.k.a. The Man Fur), The Bookstore, The Puerto Rican Day"
What episodes were written by David Mandel?,"The Pool Guy, The Friars Club (a.k.a. The Gypsies), The Bizarro Jerry, The Susie, The Butter Shave, The Voice, The Betrayal, The Maid, The Puerto Rican Day"
What episodes were written by Jennifer Crittenden?,"The Package, The Little Jerry, The Millennium, The Apology, The Burning, The Puerto Rican Day"
What episodes were written by Steve O'Donnell?,"The Checks, The Pothole"
What episodes were written by Steve Koren?,"The Abstinence, The English Patient, The Serenity Now, The Dealership, The Puerto Rican Day"
What episodes were written by Darin Henry?,The Van Buren Boys
What episodes were written by Dan O'Keefe?,"The Pothole, The Blood, The Strike, The Strongbox, The Puerto Rican Day"
What episodes were written by Jill Franklyn?,The Yada Yada
What episodes were written by Bruce Eric Kaplan?,"The Merv Griffin Show, The Cartoon, The Puerto Rican Day"
What episodes were written by Steve Lookner?,The Wizard
