Question, Answer
"Kramer, George, Elaine, and Jerry spent nine seasons on what NBC 'show about nothing' that gave us classic lines like 'Yada, yada, yada' and 'No soup for you'?", Seinfeld
"'A quick bread made of batter containing egg and baked in a pan having cupcake molds' is Merriam-Webster's definition of what baked good? On 'Seinfeld', Elaine launched a failed venture to sell only the tops of these things.", Muffin
"Jerry learns he has a library fine for a book he checked out in 1971 and never returned in a Season 3 episode of what sitcom?", Seinfeld
"What surprising license plate does Kramer receive from the Department of Motor Vehicles?", ASSMAN
"In the Season 4 episode 'The Handicap Spot', the group of friends on Seinfeld travel to a mall to buy what type of engagement gift for their friend 'The Drake?'", Big-screen TV
"In Season 9 episode 'the Apology', which of Seinfeld's characters discovers that a co-worker can't stand their germs but can tolerate everyone else's?", Elaine
"Seen in episodes such as 'The Wallet' in which the namesake object goes missing, what is the name of Jerry's father in the show Seinfeld?", Morty
"In Season 9 episode 'The Dealership', Jerry plans to buy a Saab convertible from what car salesman who is also an on-again-off-again boyfriend of Elaine's?", David Puddy
"In Season 9 episode 'The Bookstore', Jerry learns that a relative of his is a shoplifter. Who is this relative?", Uncle Leo
"'Nothing mixes better than vanilla and chocolate'. In an episode of 'Seinfeld', Jerry says this in reference to what iconic duotone baked foodstuff found primarily in the bakeries of New York City?", Black and White cookie
"In Season 4 episode of Seinfeld 'The Pick', while Jerry is trying to convince his girlfriend that he was simply scratching his nose, Kramer is spending time as an underwear model for what brand?", Calvin Klein
"Seinfeld premiered on NBC in the same year that the first full episode of The Simpsons debuted on FOX. What was this year?", 1989
"The famous actual puffy shirt used in 'The Puffy Shirt' episode lives in what iconic American museum?", The Smithsonian
"Which of the 4 main Seinfeld characters was not in the show's first episode?", Elaine
"What Looney Tunes character rests atop the titular confectionary tool the 'Pez Dispenser' episode?", Tweety Bird
"While Jerry and Elaine are waiting for a table at a Chinese restaurant, Jerry dares Elaine to eat what food from a stranger's plate?", Egg roll
"In 'The Bubble Boy', George and his then-girlfriend Susan play what card game with the titular enclosed child?", Trivial Pursuit
"A self-confident businessman, what is the name of Jerry's father in Seinfeld?", Morty
