Question,Answer
"Who is the writer of the episode titled 'Good News, Bad News'?","Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Stakeout'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Robbery'?,Matt Goldman
Who is the writer of the episode titled 'Male Unbonding'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Stock Tip'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Ex-Girlfriend'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Pony Remark'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Jacket'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Phone Message'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Apartment'?,Peter Mehlman
Who is the writer of the episode titled 'The Statue'?,Larry David
Who is the writer of the episode titled 'The Revenge'?,Larry David
Who is the writer of the episode titled 'The Heart Attack'?,Larry Charles
Who is the writer of the episode titled 'The Deal'?,Larry Charles
Who is the writer of the episode titled 'The Baby Shower'?,Larry Charles
Who is the writer of the episode titled 'The Chinese Restaurant'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Busboy'?,"Larry David, Jerry Seinfeld"
Who is the writer of the episode titled 'The Note'?,Larry David
Who is the writer of the episode titled 'The Truth'?,Elaine Pope
Who is the writer of the episode titled 'The Pen'?,Larry David
Who is the writer of the episode titled 'The Dog'?,Larry David
Who is the writer of the episode titled 'The Library'?,Larry Charles
Who is the writer of the episode titled 'The Parking Garage'?,Larry David
Who is the writer of the episode titled 'The Cafe'?,Tom Leopold
Who is the writer of the episode titled 'The Tape'?,"Larry David and Bob Shaw, Don McEnery"
Who is the writer of the episode titled 'The Nose Job'?,Peter Mehlman
Who is the writer of the episode titled 'The Stranded'?,"Larry David, Jerry Seinfeld and Matt Goldman"
Who is the writer of the episode titled 'The Alternate Side'?,Larry David and Bill Masters
Who is the writer of the episode titled 'The Red Dot'?,Larry David
