Question,Answer
"What is the season and episode number of the episode titled Good News, Bad News?","Season 1, Episode 1"
What is the season and episode number of the episode titled The Stakeout?,"Season 1, Episode 2"
What is the season and episode number of the episode titled The Robbery?,"Season 1, Episode 3"
What is the season and episode number of the episode titled Male Unbonding?,"Season 1, Episode 4"
What is the season and episode number of the episode titled The Stock Tip?,"Season 1, Episode 5"
What is the season and episode number of the episode titled The Ex-Girlfriend?,"Season 2, Episode 1"
What is the season and episode number of the episode titled The Pony Remark?,"Season 2, Episode 2"
What is the season and episode number of the episode titled The Jacket?,"Season 2, Episode 3"
What is the season and episode number of the episode titled The Phone Message?,"Season 2, Episode 4"
What is the season and episode number of the episode titled The Apartment?,"Season 2, Episode 5"
What is the season and episode number of the episode titled The Statue?,"Season 2, Episode 6"
What is the season and episode number of the episode titled The Revenge?,"Season 2, Episode 7"
What is the season and episode number of the episode titled The Heart Attack?,"Season 2, Episode 8"
What is the season and episode number of the episode titled The Deal?,"Season 2, Episode 9"
What is the season and episode number of the episode titled The Baby Shower?,"Season 2, Episode 10"
What is the season and episode number of the episode titled The Chinese Restaurant?,"Season 2, Episode 11"
What is the season and episode number of the episode titled The Busboy?,"Season 2, Episode 12"
What is the season and episode number of the episode titled The Note?,"Season 3, Episode 1"
What is the season and episode number of the episode titled The Truth?,"Season 3, Episode 2"
What is the season and episode number of the episode titled The Pen?,"Season 3, Episode 3"
What is the season and episode number of the episode titled The Dog?,"Season 3, Episode 4"
What is the season and episode number of the episode titled The Library?,"Season 3, Episode 5"
What is the season and episode number of the episode titled The Parking Garage?,"Season 3, Episode 6"
What is the season and episode number of the episode titled The Cafe?,"Season 3, Episode 7"
What is the season and episode number of the episode titled The Tape?,"Season 3, Episode 8"
What is the season and episode number of the episode titled The Nose Job?,"Season 3, Episode 9"
What is the season and episode number of the episode titled The Stranded?,"Season 3, Episode 10"
What is the season and episode number of the episode titled The Alternate Side?,"Season 3, Episode 11"
What is the season and episode number of the episode titled The Red Dot?,"Season 3, Episode 12"
What is the season and episode number of the episode titled The Subway?,"Season 3, Episode 13"
What is the season and episode number of the episode titled The Pez Dispenser?,"Season 3, Episode 14"
What is the season and episode number of the episode titled The Suicide?,"Season 3, Episode 15"
What is the season and episode number of the episode titled The Fix-Up?,"Season 3, Episode 16"
What is the season and episode number of the episode titled The Boyfriend (1)?,"Season 3, Episode 17"
What is the season and episode number of the episode titled The Boyfriend (2)?,"Season 3, Episode 18"
What is the season and episode number of the episode titled The Limo?,"Season 3, Episode 19"
What is the season and episode number of the episode titled The Good Samaritan?,"Season 3, Episode 20"
What is the season and episode number of the episode titled The Letter?,"Season 3, Episode 21"
What is the season and episode number of the episode titled The Parking Space?,"Season 3, Episode 22"
What is the season and episode number of the episode titled The Keys?,"Season 3, Episode 23"
What is the season and episode number of the episode titled The Trip (1)?,"Season 4, Episode 1"
What is the season and episode number of the episode titled The Trip (2)?,"Season 4, Episode 2"
What is the season and episode number of the episode titled The Pitch?,"Season 4, Episode 3"
What is the season and episode number of the episode titled The Ticket?,"Season 4, Episode 4"
What is the season and episode number of the episode titled The Wallet (1)?,"Season 4, Episode 5"
What is the season and episode number of the episode titled The Watch (2)?,"Season 4, Episode 6"
What is the season and episode number of the episode titled The Bubble Boy?,"Season 4, Episode 7"
What is the season and episode number of the episode titled The Cheever Letters?,"Season 4, Episode 8"
What is the season and episode number of the episode titled The Opera?,"Season 4, Episode 9"
What is the season and episode number of the episode titled The Virgin?,"Season 4, Episode 10"
What is the season and episode number of the episode titled The Contest?,"Season 4, Episode 11"
What is the season and episode number of the episode titled The Airport?,"Season 4, Episode 12"
What is the season and episode number of the episode titled The Pick?,"Season 4, Episode 13"
What is the season and episode number of the episode titled The Movie?,"Season 4, Episode 14"
What is the season and episode number of the episode titled The Visa?,"Season 4, Episode 15"
What is the season and episode number of the episode titled The Shoes?,"Season 4, Episode 16"
What is the season and episode number of the episode titled The Outing?,"Season 4, Episode 17"
What is the season and episode number of the episode titled The Old Man?,"Season 4, Episode 18"
What is the season and episode number of the episode titled The Implant?,"Season 4, Episode 19"
