Question,Answer
"Who directed the episode titled Good News, Bad News?",Art Wolff
Who directed the episode titled The Stakeout?,Tom Cherones
Who directed the episode titled The Robbery?,Tom Cherones
Who directed the episode titled Male Unbonding?,Tom Cherones
Who directed the episode titled The Stock Tip?,Tom Cherones
Who directed the episode titled The Ex-Girlfriend?,Tom Cherones
Who directed the episode titled The Pony Remark?,Tom Cherones
Who directed the episode titled The Jacket?,Tom Cherones
Who directed the episode titled The Phone Message?,Tom Cherones
Who directed the episode titled The Apartment?,Tom Cherones
Who directed the episode titled The Statue?,Tom Cherones
Who directed the episode titled The Revenge?,Tom Cherones
Who directed the episode titled The Heart Attack?,Tom Cherones
Who directed the episode titled The Deal?,Tom Cherones
Who directed the episode titled The Baby Shower?,Tom Cherones
Who directed the episode titled The Chinese Restaurant?,Tom Cherones
Who directed the episode titled The Busboy?,Tom Cherones
Who directed the episode titled The Note?,Tom Cherones
Who directed the episode titled The Truth?,David Steinberg
Who directed the episode titled The Pen?,Tom Cherones
Who directed the episode titled The Dog?,Tom Cherones
Who directed the episode titled The Library?,Joshua White
Who directed the episode titled The Parking Garage?,Tom Cherones
Who directed the episode titled The Cafe?,Tom Cherones
Who directed the episode titled The Tape?,David&nbsp; Steinberg
Who directed the episode titled The Nose Job?,Tom Cherones
Who directed the episode titled The Stranded?,Tom Cherones
Who directed the episode titled The Alternate Side?,Tom Cherones
Who directed the episode titled The Red Dot?,Tom Cherones
Who directed the episode titled The Subway?,Tom Cherones
Who directed the episode titled The Pez Dispenser?,Tom Cherones
Who directed the episode titled The Suicide?,Tom Cherones
Who directed the episode titled The Fix-Up?,Tom Cherones
Who directed the episode titled The Boyfriend (1)?,Tom Cherones
Who directed the episode titled The Boyfriend (2)?,Tom Cherones
Who directed the episode titled The Limo?,Tom Cherones
Who directed the episode titled The Good Samaritan?,Jason Alexander
Who directed the episode titled The Letter?,Tom Cherones
Who directed the episode titled The Parking Space?,Tom Cherones
Who directed the episode titled The Keys?,Tom Cherones
